City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
581,Turayf,SA,82.65,clear sky,31.67,38.66,Turaif
584,Nava,MX,84.99,overcast clouds,28.42,-100.77,El Portal 2
590,Virginia Beach,US,83.03,broken clouds,36.85,-75.98,Hilton Virginia Beach Oceanfront
593,Damnagar,IN,79.18,overcast clouds,21.7,71.52,MARUTI lemon soda shops
595,Powell River,CA,79.0,few clouds,49.85,-124.54,Rodmay Hotel
597,Porto Walter,BR,85.69,clear sky,-8.27,-72.74,Hotel Silva
599,Makakilo City,US,82.72,few clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
600,Guerrero Negro,MX,85.21,few clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
602,Port Blair,IN,81.59,overcast clouds,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
608,Hirara,JP,81.72,overcast clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
610,Alice Town,BS,85.14,overcast clouds,25.72,-79.3,Bimini Big Game Club Resort & Marina
613,Acapulco,MX,89.42,clear sky,16.86,-99.89,HS Hotsson Smart Acapulco
615,Tondi,IN,83.88,broken clouds,9.73,79.02,Star Lodge
616,Jizan,SA,83.34,overcast clouds,17.33,42.67,شهدان. ابوالحجر
618,Corn Island,NI,81.88,overcast clouds,12.17,-83.04,Big Fish Guest House
621,Palmer,US,79.56,few clouds,42.16,-72.33,Wedgewood Motel
623,Hami,CN,76.73,clear sky,42.8,93.45,Laoyutang Resort
633,Baracoa,CU,83.35,overcast clouds,20.35,-74.5,Hostal Rio Miel
635,Popondetta,PG,78.39,broken clouds,-8.75,148.25,Timos Transit House
639,Nakamura,JP,77.38,scattered clouds,32.98,132.93,Hotel Crown Hills Nakamura
640,Cumberland,US,88.61,clear sky,35.05,-78.87,American Eagle Inn
645,Mehnagar,IN,80.62,broken clouds,25.88,83.12,Mata Pita Aashirbad
646,Iracoubo,GF,78.19,broken clouds,5.48,-53.2,Le Gîte d’Iracoubo
648,Vieques,PR,84.24,broken clouds,18.43,-65.83,"The St. Regis Bahia Beach Resort, Puerto Rico"
649,Biltine,TD,80.53,overcast clouds,14.53,20.92,Hôtel Trois Étoiles de Biltine
651,Daru,PG,77.4,overcast clouds,-9.08,143.21,Daru Lodge
654,Coron,PH,81.05,overcast clouds,12.0,120.2,Coron Westown Resort
666,San Nicolas,PH,84.11,thunderstorm with light rain,18.17,120.6,NORTHVIEW Hotel
667,Ixtapa,MX,89.22,scattered clouds,20.7,-105.2,Hotel Plaza Providencia
669,Lufilufi,WS,82.18,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
674,Douglas,US,81.14,scattered clouds,41.3,-96.17,Hilton Garden Inn Omaha West
675,Kroya,ID,76.08,overcast clouds,-7.63,109.25,RUSTANTO Fam
677,Arawa,PG,80.49,scattered clouds,-6.21,155.54,Coastline Guest House
679,Ruidoso,US,76.96,scattered clouds,33.33,-105.67,Inn of the Mountain Gods
681,Laibin,CN,79.86,broken clouds,23.7,109.27,Laibin Hotel
687,Mizdah,LY,82.83,clear sky,31.45,12.98,فندق بنيه تحتيه
688,Saint-Georges,GD,85.68,few clouds,12.06,-61.75,Radisson Grenada Beach Resort
692,Kitimat,CA,77.38,few clouds,54.05,-128.65,Kingfish Westcoast Adventures Ltd. Kitimat Estuary Lodge B&B
697,Mecca,SA,86.99,broken clouds,21.43,39.83,"Makkah Clock Royal Tower, A Fairmont Hotel"
698,Devaprayag,IN,76.91,broken clouds,30.15,78.62,Hotel UMA
703,Mayo,US,83.41,few clouds,38.89,-76.51,Resorts Resource Group International
705,Springdale,US,85.82,clear sky,36.19,-94.13,Springdale Inn
