City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Port Alfred,ZA,2021-08-02 14:07:58,-33.5906,26.891,59.0,72,99,13.42
135,Tabas,IR,2021-08-02 14:07:59,33.5959,56.9244,98.87,7,0,15.41
136,La Ronge,CA,2021-08-02 14:07:59,55.1001,-105.2842,70.02,73,75,3.44
137,Northam,GB,2021-08-02 14:08:00,51.0333,-4.2167,67.3,77,100,11.14
138,Qaqortoq,GL,2021-08-02 14:08:00,60.7167,-46.0333,52.3,93,100,1.36
139,College,US,2021-08-02 14:08:00,64.8569,-147.8028,62.91,86,40,0.0
140,Corrales,US,2021-08-02 14:08:01,35.2378,-106.6067,70.27,70,75,1.99
141,Wad Madani,SD,2021-08-02 14:08:01,14.4012,33.5199,89.94,43,27,9.33
142,Aksha,RU,2021-08-02 14:08:01,50.2814,113.2867,64.92,64,100,4.85
143,Hambantota,LK,2021-08-02 14:06:12,6.1241,81.1185,84.54,70,20,13.8
144,Norman Wells,CA,2021-08-02 14:08:02,65.282,-126.8329,71.11,51,1,0.51
145,Tongren,CN,2021-08-02 14:08:02,27.7172,109.1853,83.21,66,0,3.47
146,Tuensang,IN,2021-08-02 14:08:03,26.2833,94.8333,71.42,99,12,2.8
147,Tasiilaq,GL,2021-08-02 14:08:03,65.6145,-37.6368,43.63,76,100,2.89
148,Kholtoson,RU,2021-08-02 14:08:04,50.2981,103.3097,52.32,99,100,5.32
149,Biak,ID,2021-08-02 14:08:04,-0.9131,122.8766,76.24,84,58,6.85
150,Wadi Maliz,TN,2021-08-02 14:08:05,36.4681,8.5495,103.46,20,1,9.53
151,Bahia Blanca,AR,2021-08-02 14:06:10,-38.7196,-62.2724,55.35,40,29,16.51
152,Bathsheba,BB,2021-08-02 14:08:05,13.2167,-59.5167,86.61,74,20,11.5
153,Cape Town,ZA,2021-08-02 14:08:05,-33.9258,18.4232,70.27,56,0,3.0
154,Redmond,US,2021-08-02 14:03:39,47.674,-122.1215,63.25,87,3,1.01
155,Dwarka,IN,2021-08-02 14:08:06,22.2394,68.9678,82.58,81,96,21.12
156,Bredasdorp,ZA,2021-08-02 14:08:06,-34.5322,20.0403,64.27,82,90,11.18
157,Sangar,RU,2021-08-02 14:08:07,63.9242,127.4739,65.93,34,20,6.33
158,Olafsvik,IS,2021-08-02 14:08:07,64.8945,-23.7142,54.03,85,100,3.91
159,Muisne,EC,2021-08-02 14:08:07,0.6,-80.0333,75.72,82,97,9.93
160,Bethel,US,2021-08-02 14:08:08,41.3712,-73.414,73.17,81,1,8.05
161,Ullapool,GB,2021-08-02 14:08:08,57.8987,-5.1604,63.95,59,39,5.84
162,Georgetown,MY,2021-08-02 14:05:08,5.4112,100.3354,84.88,77,20,0.0
163,Shelburne,CA,2021-08-02 14:08:09,44.0787,-80.2041,66.85,55,0,8.52
164,Saldanha,ZA,2021-08-02 14:03:21,-33.0117,17.9442,63.41,61,0,7.61
165,Trat,TH,2021-08-02 14:08:09,12.5,102.5,76.39,95,100,4.65
166,Portland,US,2021-08-02 14:07:00,45.5234,-122.6762,63.55,86,75,1.01
167,Homer,US,2021-08-02 14:08:10,59.6425,-151.5483,58.77,94,90,3.44
168,Cody,US,2021-08-02 14:08:10,44.5263,-109.0565,71.8,50,75,0.0
169,Ximei,CN,2021-08-02 14:08:11,24.9639,118.3794,79.14,92,100,2.3
170,Utete,TZ,2021-08-02 14:08:11,-7.986,38.758,82.6,44,79,12.15
171,Valparaiso,CL,2021-08-02 14:08:11,-33.0393,-71.6273,66.43,53,0,3.44
172,Ambilobe,MG,2021-08-02 14:08:12,-13.2,49.05,78.89,61,39,5.7
173,Luena,AO,2021-08-02 14:08:12,-11.7833,19.9167,81.86,18,17,6.17
174,Plouzane,FR,2021-08-02 14:08:12,48.3833,-4.6167,66.38,57,20,11.5
175,Japura,ID,2021-08-02 14:08:13,-0.3167,102.35,76.23,92,91,3.78
176,Saint-Nazaire,FR,2021-08-02 14:08:13,47.2833,-2.2,73.54,67,90,11.5
177,Korla,CN,2021-08-02 14:08:14,41.7597,86.1469,85.44,16,100,6.31
178,Severo-Kurilsk,RU,2021-08-02 14:08:14,50.6789,156.125,52.63,90,91,15.21
179,Ilulissat,GL,2021-08-02 14:08:14,69.2167,-51.1,62.62,34,40,14.97
180,Garwa,IN,2021-08-02 14:08:15,24.1833,83.8167,80.29,78,90,5.12
181,Axim,GH,2021-08-02 14:08:15,4.8699,-2.2405,82.99,62,95,8.7
182,Hasaki,JP,2021-08-02 14:08:16,35.7333,140.8333,79.29,92,100,12.73
183,Sao Jose Da Coroa Grande,BR,2021-08-02 14:08:16,-8.8978,-35.1478,77.54,79,35,15.9
184,Atkarsk,RU,2021-08-02 14:08:16,51.8718,45.0078,94.5,22,4,9.08
185,Kuytun,RU,2021-08-02 14:08:17,54.3419,101.5036,55.71,92,100,6.69
186,Pyay,MM,2021-08-02 14:08:17,18.8167,95.2167,76.78,92,100,5.35
187,Torbat-E Jam,IR,2021-08-02 14:08:17,35.244,60.6225,87.85,11,0,22.08
188,Pamyat Parizhskoy Kommuny,RU,2021-08-02 14:08:18,56.1048,44.4952,76.95,48,99,0.43
189,Luderitz,NA,2021-08-02 14:08:18,-26.6481,15.1594,73.8,37,0,4.68
190,Nemuro,JP,2021-08-02 14:08:19,43.3236,145.575,68.36,98,100,5.3
191,Meridian,US,2021-08-02 14:08:19,43.6121,-116.3915,71.35,92,1,0.0
192,Aquiraz,BR,2021-08-02 14:03:43,-3.9014,-38.3911,87.22,42,0,11.81
193,Thinadhoo,MV,2021-08-02 14:08:20,0.5333,72.9333,82.62,68,100,1.99
194,Chokurdakh,RU,2021-08-02 14:08:20,70.6333,147.9167,36.45,78,13,8.72
195,Natal,BR,2021-08-02 14:08:20,-5.795,-35.2094,84.85,54,40,17.27
196,Olean,US,2021-08-02 14:08:21,42.0776,-78.4297,67.12,77,1,4.61
197,Poronaysk,RU,2021-08-02 14:08:21,49.2167,143.1167,57.34,88,7,3.96
198,Kodiak,US,2021-08-02 14:08:21,57.79,-152.4072,52.54,96,78,2.06
199,Bulgan,MN,2021-08-02 14:08:22,48.8125,103.5347,55.13,92,100,6.69
200,Lodja,CD,2021-08-02 14:08:22,-3.4833,23.4333,96.39,18,78,2.39
201,Dharchula,IN,2021-08-02 14:08:23,29.85,80.5333,75.63,92,100,1.61
202,Broken Hill,AU,2021-08-02 14:08:23,-31.95,141.4333,47.21,71,0,16.89
